station,longitude,latitude,elevation
MataderoSayausi,-79.06922773,-2.87869827,2693
Sayausi,-79.06835208,-2.85925661,2847
Cebollar,-79.01874893,-2.88525684,2652
Totoracocha,-78.98786527,-2.89719137,2516
YanuncayPucan,-79.17052379,-2.94742611,3000
Labrado,-79.07301592,-2.72903298,3434
Tixán,-78.99369666,-2.83283511,2708
Chanlud,-79.03363022,-2.68013427,3485
Narancay,-79.05560442,-2.93072900,2728
Huizhil,-79.06801688,-2.90867021,2773
Ricaurte,-78.96667233,-2.85517421,2600
Ucubamba,-78.94240092,-2.87627827,2425
Challuabamba,-78.91078157,-2.86809260,2521
Llaviucu,-79.15071612,-2.84396669,3154
Chirimachay,-79.14953295,-2.81313936,3310
Toreadora,-79.22237632,-2.78324942,
ElValle,-78.96208648,-2.94548009,
Saucay,-79.01313978,-2.75681949,
SoldadosPTAR,-79.22870554,-2.94251098,
Portete,-79.08634050,-3.13703042,
Irquis,-79.07513801,-3.07947592,
